,Return_20d(%),Industry,Industry_Mean(%),Pure_Alpha(%)
INTC,89.21798349044971,Information Technology,16.887206417366862,72.33077707308286
DDOG,82.49976833053985,Information Technology,16.887206417366862,65.61256191317298
AMD,75.92620553822181,Information Technology,16.887206417366862,59.038999120854946
CNC,51.6908293178848,Health Care,-2.594343498529162,54.28517281641396
AKAM,67.12067462949688,Information Technology,16.887206417366862,50.23346821213001
QCOM,62.78230311233819,Information Technology,16.887206417366862,45.89509669497133
MU,62.49731383579529,Information Technology,16.887206417366862,45.61010741842843
HUM,42.68384989321336,Health Care,-2.594343498529162,45.278193391742526
SNDK,52.44847933308661,Information Technology,16.887206417366862,35.56127291571975
DVA,31.485452589782593,Health Care,-2.594343498529162,34.07979608831175
STX,50.40491970085177,Information Technology,16.887206417366862,33.51771328348491
PWR,29.094042808808208,Industrials,-1.4464699020042764,30.540512710812486
FTNT,46.404073301907076,Information Technology,16.887206417366862,29.516866884540214
TSLA,19.748760401491317,Consumer Discretionary,-6.423873874030917,26.172634275522235
UNH,22.475250544467617,Health Care,-2.594343498529162,25.06959404299678
GNRC,23.613536570680882,Industrials,-1.4464699020042764,25.06000647268516
NXPI,41.57892444911076,Information Technology,16.887206417366862,24.691718031743896
URI,22.685823910081425,Industrials,-1.4464699020042764,24.132293812085702
ELV,21.279716411989934,Health Care,-2.594343498529162,23.874059910519097
ON,40.5065875398068,Information Technology,16.887206417366862,23.61938112243994
VTRS,20.668583979423126,Health Care,-2.594343498529162,23.26292747795229
CVS,20.294262266554774,Health Care,-2.594343498529162,22.888605765083938
NUE,21.57440615053514,Materials,-0.75091411325385,22.32532026378899
FIX,20.773956617141742,Industrials,-1.4464699020042764,22.22042651914602
CRWD,37.39868828555062,Information Technology,16.887206417366862,20.511481868183758
STLD,19.621091380768817,Materials,-0.75091411325385,20.372005494022666
WST,16.859179579701976,Health Care,-2.594343498529162,19.45352307823114
WDC,35.33121721904049,Information Technology,16.887206417366862,18.444010801673627
BEN,17.631478598581563,Financials,-0.4419704595967222,18.073449058178284
VRT,15.790081998727846,Industrials,-1.4464699020042764,17.236551900732124
TXN,34.076636057555866,Information Technology,16.887206417366862,17.189429640189005
CBOE,16.728178739349552,Financials,-0.4419704595967222,17.170149198946273
GOOG,16.11562301954914,Communication Services,-0.5371745239801173,16.652797543529257
GOOGL,16.082427069167583,Communication Services,-0.5371745239801173,16.6196015931477
PANW,33.47979907765486,Information Technology,16.887206417366862,16.592592660288
CASY,17.290556074692166,Consumer Staples,1.3626325749521067,15.927923499740059
CAT,14.399629203746622,Industrials,-1.4464699020042764,15.846099105750898
ADM,16.196981579067526,Consumer Staples,1.3626325749521067,14.834349004115419
EME,13.089035118805882,Industrials,-1.4464699020042764,14.535505020810158
APO,14.069854077363875,Financials,-0.4419704595967222,14.511824536960598
CMI,12.924003020226893,Industrials,-1.4464699020042764,14.37047292223117
BIIB,11.762397744332254,Health Care,-2.594343498529162,14.356741242861416
COIN,13.822455250898313,Financials,-0.4419704595967222,14.264425710495036
PM,15.58287195917416,Consumer Staples,1.3626325749521067,14.220239384222053
SBUX,7.393113322889122,Consumer Discretionary,-6.423873874030917,13.816987196920039
IVZ,13.147249556128626,Financials,-0.4419704595967222,13.589220015725349
DOC,16.041648610943348,Real Estate,2.520137369146247,13.5215112417971
MNST,14.566401495999571,Consumer Staples,1.3626325749521067,13.203768921047464
EBAY,6.777888647164754,Consumer Discretionary,-6.423873874030917,13.201762521195672
ROK,11.37020217114799,Industrials,-1.4464699020042764,12.816672073152267
AMZN,6.344823994203352,Consumer Discretionary,-6.423873874030917,12.76869786823427
MCHP,29.489934524433714,Information Technology,16.887206417366862,12.602728107066852
DELL,28.66363527466522,Information Technology,16.887206417366862,11.77642885729836
TTWO,11.14578251100291,Communication Services,-0.5371745239801173,11.682957034983026
ADP,9.419212542305244,Industrials,-1.4464699020042764,10.86568244430952
SOLV,7.954224514897268,Health Care,-2.594343498529162,10.54856801342643
ARES,10.025753356127343,Financials,-0.4419704595967222,10.467723815724066
KDP,11.7409694520749,Consumer Staples,1.3626325749521067,10.378336877122793
MPC,13.3189001842257,Energy,3.2996634898349293,10.019236694390772
ALB,9.185717046950948,Materials,-0.75091411325385,9.936631160204799
XYZ,9.13076458987594,Financials,-0.4419704595967222,9.572735049472662
AIZ,9.02955490153663,Financials,-0.4419704595967222,9.471525361133352
MGM,2.85869656996085,Consumer Discretionary,-6.423873874030917,9.282570443991768
LLY,6.467205760924788,Health Care,-2.594343498529162,9.06154925945395
IBKR,8.482491627704135,Financials,-0.4419704595967222,8.924462087300858
HAS,2.3504046416989555,Consumer Discretionary,-6.423873874030917,8.774278515729872
IRM,11.207576002901076,Real Estate,2.520137369146247,8.68743863375483
GEV,7.232409513449367,Industrials,-1.4464699020042764,8.678879415453643
SWK,7.154731598353337,Industrials,-1.4464699020042764,8.601201500357613
CI,5.9354337173555205,Health Care,-2.594343498529162,8.529777215884682
GWW,7.023048778770735,Industrials,-1.4464699020042764,8.469518680775012
MAS,7.009698298660405,Industrials,-1.4464699020042764,8.456168200664681
ABNB,1.9723565702393309,Consumer Discretionary,-6.423873874030917,8.396230444270248
RVTY,5.606044275477351,Health Care,-2.594343498529162,8.200387774006513
AXON,6.503707526109737,Industrials,-1.4464699020042764,7.950177428114013
IFF,6.956885668172719,Materials,-0.75091411325385,7.707799781426568
SJM,8.843941937171218,Consumer Staples,1.3626325749521067,7.481309362219111
EL,8.728219236177992,Consumer Staples,1.3626325749521067,7.365586661225885
NEE,3.263611254639809,Utilities,-4.010055050096472,7.273666304736281
PSX,10.522173349114983,Energy,3.2996634898349293,7.222509859280054
DD,6.469581058312079,Materials,-0.75091411325385,7.220495171565929
MSCI,6.752913819397732,Financials,-0.4419704595967222,7.194884278994454
WAT,4.539547222718832,Health Care,-2.594343498529162,7.133890721247994
CVNA,0.4516146329175852,Consumer Discretionary,-6.423873874030917,6.8754885069485026
PAYX,5.407991432408754,Industrials,-1.4464699020042764,6.85446133441303
Q,23.49175373784007,Information Technology,16.887206417366862,6.604547320473209
EXPD,5.072107279677351,Industrials,-1.4464699020042764,6.518577181681628
PFG,6.012326002555457,Financials,-0.4419704595967222,6.454296462152179
INVH,8.953535703484894,Real Estate,2.520137369146247,6.433398334338647
HWM,4.981704814963295,Industrials,-1.4464699020042764,6.428174716967571
CPAY,5.9847703501855865,Financials,-0.4419704595967222,6.426740809782308
DRI,-0.11112295456652266,Consumer Discretionary,-6.423873874030917,6.312750919464395
TROW,5.832642091906193,Financials,-0.4419704595967222,6.274612551502915
NWSA,5.693164993882083,Communication Services,-0.5371745239801173,6.2303395178622
NWS,5.515088993394279,Communication Services,-0.5371745239801173,6.052263517374397
CDNS,22.92642880553799,Information Technology,16.887206417366862,6.0392223881711296
HPE,22.875362051337532,Information Technology,16.887206417366862,5.9881556339706705
AVB,8.473687422902954,Real Estate,2.520137369146247,5.9535500537567065
UBER,4.463305449926014,Industrials,-1.4464699020042764,5.90977535193029
SNPS,22.712511434983497,Information Technology,16.887206417366862,5.825305017616635
CSX,4.351922751973514,Industrials,-1.4464699020042764,5.79839265397779
STT,5.184092373252924,Financials,-0.4419704595967222,5.626062832849646
UNP,4.164025811594874,Industrials,-1.4464699020042764,5.61049571359915
VZ,5.068162551398392,Communication Services,-0.5371745239801173,5.605337075378509
BA,4.0465623197450284,Industrials,-1.4464699020042764,5.493032221749305
FOX,4.85744834750832,Communication Services,-0.5371745239801173,5.394622871488437
NSC,3.9479498663617774,Industrials,-1.4464699020042764,5.3944197683660535
INCY,2.6870712809885067,Health Care,-2.594343498529162,5.281414779517668
DHI,-1.1579400125685035,Consumer Discretionary,-6.423873874030917,5.265933861462414
HAL,8.504405716208673,Energy,3.2996634898349293,5.204742226373744
CF,4.383829865013711,Materials,-0.75091411325385,5.134743978267561
EVRG,1.0009762123445398,Utilities,-4.010055050096472,5.011031262441012
MDLZ,6.310514378025278,Consumer Staples,1.3626325749521067,4.947881803073171
AES,0.8463564014657532,Utilities,-4.010055050096472,4.856411451562225
CIEN,21.73633580819292,Information Technology,16.887206417366862,4.849129390826057
V,4.338892628539992,Financials,-0.4419704595967222,4.780863088136714
FOXA,4.24223093073981,Communication Services,-0.5371745239801173,4.779405454719927
IEX,3.304052940031399,Industrials,-1.4464699020042764,4.750522842035675
MRNA,2.0249804915487113,Health Care,-2.594343498529162,4.6193239900778735
KHC,5.947528676653779,Consumer Staples,1.3626325749521067,4.5848961017016725
EQR,6.926336306592229,Real Estate,2.520137369146247,4.406198937445982
NI,0.3814942798213261,Utilities,-4.010055050096472,4.391549329917798
MO,5.720045878679603,Consumer Staples,1.3626325749521067,4.357413303727496
LNT,0.20516495164302206,Utilities,-4.010055050096472,4.215220001739494
UDR,6.6743506848802925,Real Estate,2.520137369146247,4.1542133157340455
MCO,3.6467621313399867,Financials,-0.4419704595967222,4.088732590936709
PKG,3.3249231790848155,Materials,-0.75091411325385,4.075837292338665
TTD,3.5157007818314323,Communication Services,-0.5371745239801173,4.05287530581155
VEEV,1.4457244985240036,Health Care,-2.594343498529162,4.040067997053166
BXP,6.532802653914693,Real Estate,2.520137369146247,4.012665284768446
MS,3.487942242182007,Financials,-0.4419704595967222,3.929912701778729
JBHT,2.4610111971821613,Industrials,-1.4464699020042764,3.9074810991864375
XEL,-0.1879011930832175,Utilities,-4.010055050096472,3.8221538570132547
EW,1.1700779427561203,Health Care,-2.594343498529162,3.764421441285282
SMCI,20.496325759429766,Information Technology,16.887206417366862,3.609119342062904
FFIV,20.49442632143417,Information Technology,16.887206417366862,3.607219904067307
NTRS,3.1350239232575516,Financials,-0.4419704595967222,3.5769943828542736
SLB,6.87511552812885,Energy,3.2996634898349293,3.5754520382939208
TRGP,6.863422125782637,Energy,3.2996634898349293,3.5637586359477074
VRTX,0.8935809020462537,Health Care,-2.594343498529162,3.4879244005754155
ESS,5.8984973108978656,Real Estate,2.520137369146247,3.3783599417516186
ORLY,-3.058161979916063,Consumer Discretionary,-6.423873874030917,3.3657118941148543
DASH,-3.109144982564116,Consumer Discretionary,-6.423873874030917,3.3147288914668014
NDAQ,2.848577150020337,Financials,-0.4419704595967222,3.290547609617059
LEN,-3.1988329198658128,Consumer Discretionary,-6.423873874030917,3.2250409541651046
GL,2.7530377294674224,Financials,-0.4419704595967222,3.1950081890641444
AFL,2.5326058805087204,Financials,-0.4419704595967222,2.9745763401054424
CSCO,19.852319821704345,Information Technology,16.887206417366862,2.965113404337483
KO,4.268771803205862,Consumer Staples,1.3626325749521067,2.906139228253755
CARR,1.3650149034296621,Industrials,-1.4464699020042764,2.8114848054339383
TSN,4.125616291482337,Consumer Staples,1.3626325749521067,2.76298371653023
CL,4.08870363356808,Consumer Staples,1.3626325749521067,2.7260710586159735
LITE,19.60858312677305,Information Technology,16.887206417366862,2.7213767094061865
GS,2.258058542164054,Financials,-0.4419704595967222,2.700029001760776
DIS,2.087928644967718,Communication Services,-0.5371745239801173,2.6251031689478355
BLK,2.173410768616013,Financials,-0.4419704595967222,2.615381228212735
GD,1.1592333720145565,Industrials,-1.4464699020042764,2.6057032740188326
EG,2.139262255145713,Financials,-0.4419704595967222,2.581232714742435
CEG,-1.4766779884510361,Utilities,-4.010055050096472,2.533377061645436
AZO,-3.911072273140226,Consumer Discretionary,-6.423873874030917,2.5128016008906915
MAR,-3.932373315437232,Consumer Discretionary,-6.423873874030917,2.4915005585936854
FDX,1.040140334352735,Industrials,-1.4464699020042764,2.486610236357011
BAX,-0.11370356788046321,Health Care,-2.594343498529162,2.4806399306486986
